region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA3549,1107,3165,5,11,8,18,13,29,29,49,0,0,0,0,0,0,29,49,65,94,5,36,6,15,76,145,3,3,1228,3391,187,0,1415,3391
POA3550,13457,32680,926,1507,143,304,1069,1811,1230,1898,3,7,0,0,3,3,1236,1908,3,3,0,0,44,84,47,87,4,16,15813,36502,1591,0,17404,36502
POA3551,7912,22746,18,32,10,34,28,66,14,26,0,0,0,0,6,9,20,35,59,76,13,27,3,4,75,107,0,5,8035,22959,687,0,8722,22959
POA3555,6460,15804,177,313,32,77,209,390,546,833,0,0,0,0,6,10,552,843,96,119,0,0,7,13,103,132,0,3,7324,17172,652,0,7976,17172
POA3556,3977,9829,106,155,3,3,109,158,333,504,0,0,0,0,3,0,336,504,3,0,0,0,6,21,9,21,0,0,4431,10512,427,0,4858,10512
POA3557,220,606,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,223,606,38,0,261,606
POA3558,370,847,11,16,3,4,14,20,5,5,0,0,3,3,0,0,8,8,8,12,3,3,3,7,14,22,0,0,406,897,72,0,478,897
POA3559,215,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,6,10,0,0,221,551,80,0,301,551
POA3561,1654,4212,9,28,0,0,9,28,97,114,0,0,0,0,0,0,97,114,5,6,0,0,4,14,9,20,0,3,1769,4377,276,0,2045,4377
POA3562,89,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,0,92,265,39,0,131,265
POA3563,283,714,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,717,73,0,356,717
POA3564,4728,12238,269,425,5,5,274,430,624,968,19,29,0,0,14,26,657,1023,50,75,0,0,9,23,59,98,8,27,5726,13816,647,0,6373,13816
POA3566,205,490,0,0,0,0,0,0,6,7,0,0,0,0,0,0,6,7,5,7,0,0,0,3,5,10,0,6,216,513,74,0,290,513
POA3567,232,572,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,3,0,5,0,0,0,0,0,5,0,0,237,580,45,0,282,580
POA3568,1093,2523,24,28,3,5,27,33,8,7,5,8,0,0,0,0,13,15,3,5,0,0,3,7,6,12,0,0,1139,2583,218,0,1357,2583
POA3570,200,538,0,0,0,0,0,0,7,15,0,0,0,0,0,0,7,15,3,3,0,0,3,3,6,6,0,0,213,559,33,0,246,559
POA3571,110,281,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,0,0,0,0,4,3,4,3,0,0,117,291,34,0,151,291
POA3572,69,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,194,23,0,92,194
POA3573,186,467,6,14,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,481,57,0,249,481
POA3575,323,756,0,0,0,0,0,0,14,18,0,0,0,0,0,0,14,18,3,0,0,0,3,4,6,4,0,0,343,778,106,0,449,778
POA3579,1911,4511,28,44,5,4,33,48,117,142,0,0,0,0,0,0,117,142,27,39,0,0,13,39,40,78,3,3,2104,4782,411,0,2515,4782
POA3580,323,682,0,0,0,0,0,0,10,9,0,0,0,0,0,0,10,9,5,5,0,0,0,0,5,5,0,0,338,696,79,0,417,696
POA3581,109,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,292,42,0,151,292
POA3584,461,1175,6,8,0,0,6,8,3,7,0,0,0,0,0,0,3,7,3,5,3,4,0,0,6,9,0,0,476,1199,127,0,603,1199
POA3585,3430,8754,178,313,6,12,184,325,528,769,0,0,0,0,0,0,528,769,18,27,0,0,8,10,26,37,3,0,4171,9885,509,0,4680,9885
POA3586,233,653,5,20,4,11,9,31,0,0,0,0,0,0,0,0,0,0,10,19,4,0,0,0,14,19,0,0,256,703,49,0,305,703
